Exercise Name,Type of Activity,Type of Equipment,Body Part,Type,Muscle Groups Activated,Instructions,Video Link
Medicine Ball Toss,Warm-up,Dumbbells,Lower body,Stretch,"Lats, Biceps, Rear Delts","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Jump Squats,Cardio,Bodyweight,Lower body,Stretch,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Ankle Circles,Warm-up,Dumbbells,Lower body,Hold,"Chest, Triceps, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Deadlifts,Warm-up,Dumbbells,Upper body,Stretch,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Mountain Climbers,Cardio,Bodyweight,Upper body,Pull,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Dips,Warm-up,Bodyweight,Core,Stretch,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Kettlebell Swing,Strength,Bodyweight,Lower body,Stretch,"Shoulders, Triceps","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Incline Dumbbell Press,Warm-up,Resistance Band,Upper body,Pull,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bicep Curl,Stretching,Resistance Band,Upper body,Pull,"Shoulders, Triceps","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bicep Curl,Strength,Kettlebell,Lower body,Hold,"Abdominals, Obliques","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Arnold Press,Mobility,Resistance Band,Lower body,Push,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
High Knees,Mobility,Dumbbells,Core,Pull,"Abdominals, Obliques","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Hollow Hold,Cardio,Bodyweight,Upper body,Push,"Abdominals, Lower Back, Shoulders","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Chin-Ups,Cardio,Dumbbells,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=aclHkVaku9U
Handstand Hold,Warm-up,Foam Roller,Core,Push,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Glute Bridges,Warm-up,Resistance Band,Upper body,Stretch,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Hollow Hold,Strength,Dumbbells,Lower body,Pull,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Incline Dumbbell Press,Warm-up,Kettlebell,Core,Hold,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=aclHkVaku9U
Skull Crushers,Mobility,Barbell,Upper body,Stretch,"Hip Flexors, Glutes","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Bird Dog,Stretching,Foam Roller,Core,Push,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=aclHkVaku9U
Crab Walk,Cardio,Dumbbells,Core,Pull,"Lower Abdominals, Hip Flexors","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Step-Ups,Stretching,Dumbbells,Lower body,Hold,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Jump Rope,Strength,Foam Roller,Core,Push,"Hip Flexors, Glutes","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Lunge Stretch,Strength,Dumbbells,Upper body,Push,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Burpees,Warm-up,Dumbbells,Lower body,Push,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Treadmill Sprint,Strength,Resistance Band,Core,Push,"Hamstrings, Glutes, Lower Back","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Leg Extension,Strength,Bodyweight,Lower body,Pull,"Chest, Triceps, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Side Plank,Cardio,Foam Roller,Core,Pull,"Quadriceps, Glutes, Hamstrings","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Leg Extension,Cardio,Barbell,Lower body,Hold,"Chest, Triceps, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Handstand Hold,Mobility,Kettlebell,Lower body,Push,"Lower Abdominals, Hip Flexors","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Deadlifts,Warm-up,Bodyweight,Core,Push,"Chest, Triceps, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Kettlebell Swing,Stretching,Bodyweight,Upper body,Push,"Lower Abdominals, Hip Flexors","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=9FGilxCbdz8
Chin-Ups,Mobility,Dumbbells,Core,Stretch,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Single-Leg Deadlift,Cardio,Foam Roller,Lower body,Hold,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Zercher Squat,Stretching,Foam Roller,Core,Push,"Biceps, Forearms","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Ankle Circles,Cardio,Dumbbells,Lower body,Pull,"Hamstrings, Glutes, Lower Back","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Sprint Intervals,Strength,Barbell,Upper body,Hold,"Biceps, Forearms","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Bicep Curl,Stretching,Resistance Band,Core,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Ankle Circles,Mobility,Foam Roller,Core,Push,"Shoulders, Triceps","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Stretching Routine,Mobility,Barbell,Core,Push,"Hamstrings, Glutes, Lower Back","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Calf Raises,Strength,Kettlebell,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Rowing Machine,Strength,Bodyweight,Core,Hold,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Chest Stretch,Stretching,Kettlebell,Upper body,Hold,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=op9kVnSso6Q
Jump Squats,Cardio,Kettlebell,Core,Hold,"Abdominals, Obliques","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Skull Crushers,Cardio,Foam Roller,Lower body,Pull,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Hip Thrusts,Cardio,Barbell,Lower body,Stretch,"Biceps, Forearms","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Chin-Ups,Stretching,Bodyweight,Core,Hold,"Abdominals, Obliques","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=aclHkVaku9U
Neck Stretch,Strength,Kettlebell,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Diamond Push-Up,Cardio,Dumbbells,Core,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Quad Stretch,Cardio,Barbell,Lower body,Stretch,"Chest, Triceps, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Treadmill Sprint,Stretching,Kettlebell,Core,Stretch,"Biceps, Forearms","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Wrist Flexor Stretch,Warm-up,Bodyweight,Upper body,Push,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Farmer's Walk,Cardio,Resistance Band,Core,Pull,"Shoulders, Triceps","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Yoga Flow,Stretching,Bodyweight,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Sled Push,Mobility,Foam Roller,Lower body,Push,"Lats, Biceps, Rear Delts","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Child's Pose,Strength,Bodyweight,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Step-Ups,Cardio,Dumbbells,Lower body,Hold,"Chest, Triceps, Shoulders","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Reverse Lunge,Cardio,Resistance Band,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=JB2oyawG9KI
Hollow Hold,Strength,Foam Roller,Upper body,Stretch,"Lats, Biceps, Rear Delts","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Hollow Hold,Strength,Bodyweight,Upper body,Push,"Lower Abdominals, Hip Flexors","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Face Pulls,Cardio,Barbell,Core,Push,"Biceps, Forearms","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Medicine Ball Toss,Cardio,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Kettlebell Swing,Cardio,Barbell,Lower body,Push,"Lats, Biceps, Rear Delts","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Bench Press,Stretching,Dumbbells,Core,Pull,"Biceps, Forearms","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Yoga Flow,Mobility,Kettlebell,Upper body,Pull,"Abdominals, Obliques","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=aclHkVaku9U
Jump Rope,Strength,Kettlebell,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Medicine Ball Toss,Mobility,Kettlebell,Core,Hold,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Yoga Flow,Cardio,Dumbbells,Lower body,Pull,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Bench Press,Warm-up,Foam Roller,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Front Raises,Cardio,Foam Roller,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Front Raises,Warm-up,Kettlebell,Lower body,Pull,"Lats, Biceps, Rear Delts","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Leg Press,Strength,Dumbbells,Core,Hold,"Hip Flexors, Glutes","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Pull-Ups,Strength,Kettlebell,Lower body,Hold,"Chest, Triceps, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Bird Dog,Strength,Bodyweight,Lower body,Pull,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Bent Over Row,Mobility,Dumbbells,Lower body,Stretch,"Abdominals, Lower Back, Shoulders","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Rowing Machine,Stretching,Resistance Band,Core,Pull,"Lower Abdominals, Hip Flexors","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Lunge Stretch,Strength,Dumbbells,Lower body,Push,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Step-Ups,Strength,Barbell,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Front Raises,Strength,Foam Roller,Upper body,Push,"Abdominals, Obliques","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Child's Pose,Mobility,Dumbbells,Lower body,Push,"Lats, Biceps, Rear Delts","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Leg Press,Stretching,Bodyweight,Core,Stretch,"Lower Abdominals, Hip Flexors","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Reverse Lunge,Stretching,Barbell,Core,Stretch,"Hip Flexors, Glutes","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Step-Ups,Stretching,Foam Roller,Lower body,Push,"Chest, Triceps, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=9FGilxCbdz8
Face Pulls,Warm-up,Bodyweight,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=op9kVnSso6Q
Hip Thrusts,Stretching,Barbell,Upper body,Stretch,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Clamshells,Warm-up,Bodyweight,Upper body,Stretch,"Biceps, Forearms","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Hamstring Stretch,Warm-up,Dumbbells,Upper body,Push,"Lower Abdominals, Hip Flexors","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Foam Rolling,Warm-up,Foam Roller,Core,Hold,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Cable Row,Stretching,Dumbbells,Lower body,Push,"Chest, Triceps, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Push-Ups,Strength,Kettlebell,Core,Stretch,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Flutter Kicks,Mobility,Foam Roller,Core,Push,"Lower Abdominals, Hip Flexors","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Zercher Squat,Stretching,Kettlebell,Upper body,Stretch,"Abdominals, Obliques","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Kettlebell Swing,Strength,Resistance Band,Lower body,Hold,"Abdominals, Lower Back, Shoulders","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Leg Extension,Stretching,Resistance Band,Upper body,Hold,"Quadriceps, Glutes, Hamstrings","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Goblet Squat,Cardio,Resistance Band,Lower body,Pull,"Abdominals, Obliques","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=aclHkVaku9U
Diamond Push-Up,Mobility,Foam Roller,Lower body,Stretch,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=9FGilxCbdz8
Rowing Machine,Warm-up,Foam Roller,Lower body,Hold,"Lats, Biceps, Rear Delts","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=aclHkVaku9U
Clamshells,Strength,Resistance Band,Core,Stretch,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Foam Rolling,Strength,Dumbbells,Core,Hold,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Push-Ups,Stretching,Foam Roller,Core,Hold,"Abdominals, Obliques","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Windshield Wipers,Strength,Dumbbells,Core,Push,"Lower Abdominals, Hip Flexors","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=aclHkVaku9U
Foam Rolling,Stretching,Foam Roller,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Renegade Row,Stretching,Bodyweight,Lower body,Stretch,"Lower Abdominals, Hip Flexors","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Tricep Extension,Warm-up,Barbell,Lower body,Pull,"Lats, Biceps, Rear Delts","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Tricep Extension,Strength,Kettlebell,Upper body,Stretch,"Hamstrings, Glutes, Lower Back","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Leg Press,Warm-up,Bodyweight,Core,Push,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=9FGilxCbdz8
Quad Stretch,Cardio,Bodyweight,Lower body,Stretch,"Lower Abdominals, Hip Flexors","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Pike Push-Up,Stretching,Dumbbells,Lower body,Hold,"Abdominals, Lower Back, Shoulders","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=op9kVnSso6Q
Tricep Extension,Strength,Kettlebell,Lower body,Push,"Quadriceps, Glutes, Hamstrings","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=op9kVnSso6Q
Stretching Routine,Mobility,Bodyweight,Lower body,Push,"Shoulders, Triceps","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=9FGilxCbdz8
Cat-Cow Stretch,Stretching,Resistance Band,Lower body,Push,"Lats, Biceps, Rear Delts","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=9FGilxCbdz8
Rowing Machine,Stretching,Bodyweight,Core,Hold,"Lats, Biceps, Rear Delts","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Leg Curl,Cardio,Foam Roller,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Battle Ropes,Strength,Foam Roller,Lower body,Pull,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Pike Push-Up,Strength,Resistance Band,Lower body,Pull,"Biceps, Forearms","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Boxing Drills,Cardio,Foam Roller,Lower body,Hold,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Renegade Row,Stretching,Foam Roller,Core,Pull,"Hamstrings, Glutes, Lower Back","Lift the barbell by straightening your hips and knees, keeping your back flat.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Dips,Cardio,Resistance Band,Lower body,Stretch,"Hip Flexors, Glutes","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
Hammer Curl,Mobility,Kettlebell,Core,Pull,"Biceps, Forearms","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Medicine Ball Slam,Warm-up,Kettlebell,Core,Stretch,"Hip Flexors, Glutes","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Superman,Stretching,Barbell,Upper body,Pull,"Lower Abdominals, Hip Flexors","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=CAwf7n6Luuc
Side Plank,Mobility,Foam Roller,Core,Hold,"Biceps, Forearms","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Box Jumps,Cardio,Bodyweight,Lower body,Push,"Lats, Biceps, Rear Delts","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Cable Curl,Cardio,Foam Roller,Core,Pull,"Abdominals, Lower Back, Shoulders","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=op9kVnSso6Q
Child's Pose,Warm-up,Foam Roller,Core,Stretch,"Biceps, Forearms","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Hammer Curl,Strength,Barbell,Lower body,Stretch,"Biceps, Forearms","Pull the band down toward your chest, keeping elbows pointed downward.",https://www.youtube.com/watch?v=pSHjTRCQxIw
Dips,Mobility,Bodyweight,Core,Hold,"Quadriceps, Glutes, Hamstrings","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=9FGilxCbdz8
Hanging Leg Raise,Warm-up,Kettlebell,Lower body,Hold,"Shoulders, Triceps","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Boxing Drills,Stretching,Foam Roller,Lower body,Stretch,"Hamstrings, Glutes, Lower Back","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=JB2oyawG9KI
Bicep Curl,Cardio,Resistance Band,Lower body,Hold,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Tricep Extension,Strength,Kettlebell,Upper body,Hold,"Hip Flexors, Glutes","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Neck Stretch,Mobility,Bodyweight,Lower body,Push,"Abdominals, Lower Back, Shoulders","Maintain a straight line from head to heels, holding your body tight.",https://www.youtube.com/watch?v=JB2oyawG9KI
Tricep Extension,Cardio,Dumbbells,Core,Hold,"Shoulders, Triceps","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=B-aVuyhvLHU
Boxing Drills,Mobility,Dumbbells,Lower body,Stretch,"Abdominals, Obliques","Step forward, lower your body until your knee almost touches the floor, then push back up.",https://www.youtube.com/watch?v=_l3ySVKYVJ8
Burpees,Cardio,Resistance Band,Upper body,Stretch,"Abdominals, Lower Back, Shoulders","Lie on your back, pedaling your legs while bringing the opposite elbow to the knee.",https://www.youtube.com/watch?v=op9kVnSso6Q
Ankle Circles,Cardio,Barbell,Upper body,Stretch,"Lower Abdominals, Hip Flexors","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=9FGilxCbdz8
Lunge Stretch,Mobility,Foam Roller,Upper body,Stretch,"Quadriceps, Glutes, Hamstrings","Keep your body straight, lower your chest to the floor, and push back up.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Box Jumps,Cardio,Dumbbells,Core,Hold,"Lower Abdominals, Hip Flexors","Press the weights overhead until your arms are fully extended, then lower them back down.",https://www.youtube.com/watch?v=9FGilxCbdz8
Foam Rolling,Stretching,Dumbbells,Lower body,Stretch,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=JB2oyawG9KI
Foam Rolling,Stretching,Resistance Band,Lower body,Pull,"Abdominals, Lower Back, Shoulders","Stand straight, curl the weights toward your shoulders and lower them slowly.",https://www.youtube.com/watch?v=op9kVnSso6Q
Bicep Curl,Warm-up,Barbell,Upper body,Push,"Quadriceps, Glutes, Hamstrings","Lower your hips down and back as if sitting in a chair, then return to standing.",https://www.youtube.com/watch?v=ykJmrZ5v0Oo
Flutter Kicks,Mobility,Resistance Band,Core,Pull,"Abdominals, Obliques","Lie on your back, lift your legs until they are perpendicular to the floor, then lower slowly.",https://www.youtube.com/watch?v=QOVaHwm-Q6U
